message,media_src
Mas mabuting mag dagdag ng extra income kesa magdagdag ng Utang .????,"<iframe src=""https://www.facebook.com/plugins/video.php?height=448&href=https%3A%2F%2Fwww.facebook.com%2Fdrenvaldez1%2Fvideos%2F1279475025794756%2F&show_text=false&width=560&t=0"" width=""560"" height=""448"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share"" allowFullScreen=""true""></iframe>"
"Bakit kailangan ng extra income kahit may trabaho? 
?? Dahil tumataas ang bilihin pero ang sweldo ganun pa rin.","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Z2mmfepKVKQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"CALLING FOR PARTIME ONLINERS ?? 

??TAMBAY 
??OFW 
??STUDENTS 
??EMPLOYED 
??UNEMPLOYED 
??SIDELINER 
??PROFESSIONAL 

as Long as you need extra income MESSAGE ME DIRECTLY ???????? no SKILLS required just reliable internet connection","<blockquote class=""tiktok-embed"" cite=""https://www.tiktok.com/@anxietyph.01/video/7222191466532097286"" data-video-id=""7222191466532097286"" style=""max-width: 605px;min-width: 325px;"" > <section> <a target=""_blank"" title=""@anxietyph.01"" href=""https://www.tiktok.com/@anxietyph.01?refer=embed"">@anxietyph.01</a> letter C. <a title=""anxiety"" target=""_blank"" href=""https://www.tiktok.com/tag/anxiety?refer=embed"">#anxiety</a> <a target=""_blank"" title=""♬ suara asli - favmusicvibes"" href=""https://www.tiktok.com/music/suara-asli-favmusicvibes-7072329102612220699?refer=embed"">♬ suara asli - favmusicvibes</a> </section> </blockquote> <script async src=""https://www.tiktok.com/embed.js""></script>"
"??OFW'S TIPS?? 
Habang nasa abroad ka pa at may PAMPUHUNAN kaibigan... 
Matuto kang mamuhunan ngayon sa isang NEGOSYONG PANG HABAMBUHAY... 
Para pagbalik mo ng PILIPINAS hindi ka BACK to ZERO dahil may NEGOSYO ka ng naumpisahan at itutuloy mo na lang ito kasama ang family mo, 'di ba ang ganda?? 
#Business is the Answer# 
#businessowner# 
#businessownerchallenge 
#paymokobusiness 
#100 lang puhunan sa pagyaman 
GOD is GOOD all the TIME??????","<img src=""https://teamdigitaldren91.github.io/assets/images/p5.jpg"" alt="""">"
"ANG pagkakaroon ng ADDITIONAL SOURCE OF INCOME habang nagtatrabaho ay parang SPARE TIRE ng sasakyan, sakaling ma flat ka may ipapalit ka. You'll never know when you need it, pero the best thing is, YOU ARE PREPARED. 

?In case of emergency, hindi ka lng aasa sa sweldo mo. 
?In case mawalan ka ng trabaho or delay ang sahod mo may aasahan ka. 
?Mabibili ng sweldo mo ang NEEDS mo. Pero hindi lahat ng WANTS MO. 
?SA mga OFW time will come hindi ka na malalayo sa pamilya mo habang buhay. 
?May maibibigay kang tulong sa nangangailangan. 

Be a Part of Team DigitalDren",
"? Diskarte lang ng diskarte para mabuhay, wag mo papansinin kung ibinababa ka ng iba kase hindi ka mapapakain ng panlalait nila ?? %?? 
? Kung gusto mo gumanda buhay mo makinig ka sa boses ng mga pangarap mo at hindi sa boses ng mga taong hindi naniniwala sa kakayahan mo?? 
? Wag kang mabuhay na laging nakaDepende sa opinyon ng ibang tao, maraming ngMaMasid kung keLan ka babagsak o hihinto at kung aangat ka ba sa ginagawa mo- kaya tuloy lang kahit ganu kahirap, magBubunga din yan lahat ?? % ?? 
? Tandaan mo- may gawin ka man o wala parating may masasabi ang ibang tao, might as well do what can help you ?????? laban???? 
Magnegosyo, mamuhunan, magTyaga, sipagan at diskartehan???? 
Try to start a business with paymoko 
100 lang puhunan sa pagyaman ??????","<iframe src=""https://www.facebook.com/plugins/video.php?height=448&href=https%3A%2F%2Fwww.facebook.com%2Fdrenvaldez1%2Fvideos%2F1279475025794756%2F&show_text=false&width=560&t=0"" width=""560"" height=""448"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share"" allowFullScreen=""true""></iframe>"
"REALTALK?? 
Sa MUNDO ng NEGOSYO. Hindi lahat ng kakausapin mo maiintindihan kung ano ginagawa mo, ang karaniwan ma-eencounter mo: 
?? WALA AKONG PERA 
??PAG-IPUNAN KO MUNA 
??AYAW NANG ASAWA KO 
??SCAM IYAN 
??HINDI KO IYAN LINYA 
??BALIKAN MO AKO KAPAG KUMITA KA NA 
?? BUSY AKO, WALA AKONG TIME 
??SEEN MODE 
??Ganyan din kasi ako dati??pero may mga tao naman na. 
?? TURUAN mo ko 
??Gagawan ko ng PARAAN 
??SASALI ako pagod na pagod na kasi ako mag TRABAHO 
??Gusto ko ng EXTRA INCOME 
Iba iba ang pag-iisip ng mga tao, hindi man lahat mapa-YES mo, pero sure ako may mag-HOW diyan. 
Ako kahit sino kausapin ko diyan, okay lang sa akin. Ang mahalaga maparating ko ang BLESSINGS na nararanasan ko ngayon..?????... 
??ALWAYS BE A BLESSING TO OTHERS! 
??ADD AN EXTRA SOURCE OF INCOME! 
??START YOUR OWN BUSINESS NOW??? 
PM me for more details. Thank you.??","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Z2mmfepKVKQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"SA NEGOSYO , 
MATIRA MATIBAY .. 
Hindi kami TAKOT sa Salitang TUMAL??. Ang SM nga May TUMAL DAYS, WEEKS & MONTHS! Pero Bumagsak Ba? HINDI ! 
Sa larangan ng NEGOSYO hindi porke naka encounter ka ng TUMAL TITIGIL At HIHINTO kana. Dapat tuloy lang ?? 
Hindi ka Pang Negosyo Kung ang MINDSET mo eh Kailangan Araw Araw PUNO ANG KABAN mo. 
Hindi ka TUNAY NA NEGOSYANTE kung Hindi mo Kayang BUMAWI sa Mga Nadaanan mong TUMAL DAYS??? 
Sa Negosyo Hindi Uso Shortcut ?? 
Kahit na May PERA ka pa! Dadaanan At Dadaanan Mo Yan?? 
Hanggat may isang naniniwala , MAGPATULOY KA! makakaraos din tayo lahat , aapaw ulit ang biyaya magtiwala lang tayo sa Taas ??","<blockquote class=""tiktok-embed"" cite=""https://www.tiktok.com/@anxietyph.01/video/7222191466532097286"" data-video-id=""7222191466532097286"" style=""max-width: 605px;min-width: 325px;"" > <section> <a target=""_blank"" title=""@anxietyph.01"" href=""https://www.tiktok.com/@anxietyph.01?refer=embed"">@anxietyph.01</a> letter C. <a title=""anxiety"" target=""_blank"" href=""https://www.tiktok.com/tag/anxiety?refer=embed"">#anxiety</a> <a target=""_blank"" title=""♬ suara asli - favmusicvibes"" href=""https://www.tiktok.com/music/suara-asli-favmusicvibes-7072329102612220699?refer=embed"">♬ suara asli - favmusicvibes</a> </section> </blockquote> <script async src=""https://www.tiktok.com/embed.js""></script>"
"??Kung Hindi natin susubukan , paano natin malalaman? 
??Kung Hindi natin uumpisahan, paano natin makukuha? 
??Kung Hindi tayo magkakamali, paano tayo matututo? 
??Kung Hindi tayo makikipagsapalaran, paano tayo magtatagumpay? 
??Kung matatakot tayo, paano natin makakamit ang ating mga pinapangarap? 
??Kung wala gagawing Aksyon, paano tayo magkakaresulta? 
"" LET YOUR DREAMS BE BIGGER THAN YOUR FEAR""?? 
Wag kang magpadala sa salitang baka.. 
Baka mag Fail ako... 
Baka hindi ko kaya... 
Baka hindi para sa sa akin yan... 
Baka hindi ako magkakaresulta... 
"" Change Your Mindset into a Millionaire Mindset ""?? 
Wag yung pang Monthly Budget... 
Hoping For Your Success & Happiness? 
#paymoko 
#tulongan,bayanihan, autospill 
#cryptoREALM","<img src=""https://teamdigitaldren91.github.io/assets/images/p5.jpg"" alt="""">"
"Si Paymoko ay Matibay even during Pandemic.. Kalalabas ng SEC noong June 2022 na naka File na noong Aug 2019.. Ganun katindi ang pagkilatis sa System natin kaya Super Proud na nailabas ang SEC with our system.
Now, Paymoko was Created to Help Filipinos na mostly Masa na umangat ang Buhay. Kaya super affordable ang Entries natin dito. Plus Super Safe ang System kaya walang Instant Millions.. Matibay na pang Long Term ang Kitaan dito..
#paymokolegitsince2019
#paymokodailycashout
#lifetimebusinessoppotunity",
"?? REALIZATION - OFW ?? 
Wag makampante sa sinasahod mo ngayon. Start building your own business habang may resources ka pa. When you grow older, you will look back and thank yourself for taking the risk. 
Take advantage of the new normal way of Earning-online.
?? Don't waste your time, be my paymoko partner now","<iframe src=""https://www.facebook.com/plugins/video.php?height=448&href=https%3A%2F%2Fwww.facebook.com%2Fdrenvaldez1%2Fvideos%2F1279475025794756%2F&show_text=false&width=560&t=0"" width=""560"" height=""448"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share"" allowFullScreen=""true""></iframe>"
"DON'T BE AFRAID TO TRY. 
MONEY ?? GETS BACK AND YOU CAN STILL SEE IT 
BUT TIME AND OPPORTUNITY ARE NOT. 
THINK WISELY ?? 
#PAYMOKO","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Z2mmfepKVKQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"DAPAT ALAM MO!?????? 
Reasons bakit ako post ng post tungkol sa BUSINESS ko...... para marealize mo to..?? 
UNA?? ...lagi ka ring nagfefacebook, magdamag pa nga.. pero wala ka namang income,.. 
PANGALAWA?? ...kung di naman sapat ang income mo sa trabaho mo, mag part time negosyo karin. 
PANGATLO?? ...almost 12hrs sa trabaho panay-OT, nadagdagan nga ang kita mo, dagdag din pagod mo, bawas oras sa pamilya mo. 
PANG-APAT?? ...kuntento ka na ba sa buhay na meron ka ngayon?????? 
kung hindi, kailangan mo ang NEGOSYONG PARA SA LAHAT. 
PANGLIMA?? ..May PANGARAP ka din tulad namin. ???????? 
?financial and time freedom 
????????? ?????????? ?????????????????? ???????????????? 
????????????? ?????????????????? ???????????? 
????????????? ?????????????????? ???? ???????????? 
?? ???????????????? ???????? ?????? ?????????????????? ???? ???? ???????????????? ???? ???????? ?????? ??????????a?????? ????. ?????????? ???? ???? ?????? ???????? ????. 
?????? ???????????????? ???? ????? ???? ???????? ????????????. 
?????????? ???????????? ???????? ?????? ?????????? ???????? ???? ????????.???? 
??mo ako at ituturo ko sayo.. 
Start a business for your future habang malakas ka pa, kaya mo pa, at may chance ka pa?????????? 
??Ask me how? 
???????????? 
#paymoko 
#LifeChangingOpportunity 
#LegitOnlineBusiness","<blockquote class=""tiktok-embed"" cite=""https://www.tiktok.com/@anxietyph.01/video/7222191466532097286"" data-video-id=""7222191466532097286"" style=""max-width: 605px;min-width: 325px;"" > <section> <a target=""_blank"" title=""@anxietyph.01"" href=""https://www.tiktok.com/@anxietyph.01?refer=embed"">@anxietyph.01</a> letter C. <a title=""anxiety"" target=""_blank"" href=""https://www.tiktok.com/tag/anxiety?refer=embed"">#anxiety</a> <a target=""_blank"" title=""♬ suara asli - favmusicvibes"" href=""https://www.tiktok.com/music/suara-asli-favmusicvibes-7072329102612220699?refer=embed"">♬ suara asli - favmusicvibes</a> </section> </blockquote> <script async src=""https://www.tiktok.com/embed.js""></script>"
"PARA SA MGA NAGSISIMULA PALANG???? 
JACK MA SAID?? 
Habang wala kapang malaking resulta. 
Expect mo na walang maniniwala sayo. 
Maraming tatawa sayo. 
Maraming huhusga sayo.?? 
Pero kapag na Achieve mo na yung Goals mo. 
Sila na lalapit na turuan mo kung paano gawin ang business mo. 
Malimit sa PINOY to see is to believe Tsaka na maniniwala kapag may nagawa ka na. 
Kapag naging Mayaman kana. 
Tuloy mo lang ginagawa mo ngayon. 
Deserve mong umasenso sa buhay. 
Wala yan sa kung ano ang tinapos mo. 
Kasi mas lamang parin ang madiskarte. 
Lahat tayo deserve umasenso.??","<img src=""https://teamdigitaldren91.github.io/assets/images/p5.jpg"" alt="""">"
"Kung naintindihan mo ng Lubos na ?11,529,588 ang Potential income ng Entry mo rito ay Walang HINDI Kayanin.. 
Paano ko mapatunayan yan? 
??Student 
Magkano ang Tuition? Books o Gamit sa school? Uniform? Pamasahe at baon daily Dahil lang sa Future na TRABAHO.. Sa Magakanong SWELDO kaya? 
??APPLY WORK LOCAL 
- Bili ng mga Requirements like NBI, Clearances, TOR etc.. Pamasahe sa pag apply.. Oras sa pagpunta, ilang ulit balik balik.. Then kapag matanggap.. Di agad may sweldo.. 15 Days ay Galing pa sa Bulsa mo bago may Sweldo. 
??WORK ABROAD 
- Bayad sa Requirements like Passport and Medical.. Pamasahe sa pag apply, time, effort.. Pagtitiis pag start sa Work til magka sweldo 
??Small Business 
- Capital sa Buy and Sell.. Pamasahe sa Meet up, delivery, paniningil para sa Magkanong Kita? 
??Ang Dami pa.. Main Point is 
KAPAG MAY GUSTO AY MAY PARAAN TALAGA",
"Why do WE need A SIDELINE?. ?? 
?First - EVEN IF WE HAVE A JOB, SOMETIMES OUR INCOME IS REALLY NOT ENOUGH. 
?Second - SOMETIMES OUR INCOME IS BIG BUT WE DON'T HAVE TIME FOR OUR FAMILY 
?Third - OUR SALARY CANNOT BE INHERITED BY OUR CHILDREN OR OUR LOVED ONES. 
??NOT BAD IF WE ARE EMPLOYEES FOR NOW. WHAT'S BAD IS THAT IT'S JUST A LIFETIME AND WE NO LONGER HAVE OUR TIME AND FINANCIAL FREEDOM 
??LET'S ADD SOURCE OF INCOME . IT'S NOT TOO LATE! IF YOU WANT TO LEARN, LET'S TALK! 
The sharing of OPPORTUNITY continues... 
Let's try I will teach you how. ,.. 
PM me directly ????","<iframe src=""https://www.facebook.com/plugins/video.php?height=448&href=https%3A%2F%2Fwww.facebook.com%2Fdrenvaldez1%2Fvideos%2F1279475025794756%2F&show_text=false&width=560&t=0"" width=""560"" height=""448"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share"" allowFullScreen=""true""></iframe>"
"? Naghahanap kaba ng Extra income? 
? Yung Negosyong Maliit ang Capital? 
? Yung Negosyong madaling matutunan? 
? Yung Negosyong pang International? 
? Yung Negosyong pwedeng gawin sa loob ng tahanan mo? 
? Yung Negosyong pwede mong isabay sa regular work mo? 
? Yung 100% na Lehitimo? 
? Yung Facebook lang ang gamit para kumita kahit nasa ibang bansa kapa? 
? Yung pwedeng gawin ng Student, Employee,OFW at kahit ng Tambay? 
JOIN us now..... 
Business na para sa future! 
May paraan para umasenso... 
Maging OPEN MINDED ka lang... ?? 
Message me for more details...??","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Z2mmfepKVKQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"Kaway kaway sa mga Adik sa Facebook Jan?? maging wise kayo Kapatid?? Gaya Ng Ibang Nag online mapa Araw Araw man O Gabi ?? Kumita Ng Pera Malaki???? 
free Data is Okay Online ka ngayon Online ka Kanina? Malaman Bukas online Karen?? .....Bakit Dimo gawing Source Of income sa mga Araw O Oras mo na pag Gamit Ng messager at Facebook ay Pwede Kang kumita Libo libo ??walang impossible sa taong gustong Kumita para makatulong sa Pamilya??Hindi Ka na Rin hihingi sa nanay mo Ng pera para pangbili sa mga Gusto mong gamit ??Lahat pwedeng sumali pa Bata , matanda, studente,Tambay Empleyado sa lahat Pwdeng pwede sumali?? 
Pm na wag na magpahuli ??wag kna mag icip sumobok kna. ????","<blockquote class=""tiktok-embed"" cite=""https://www.tiktok.com/@anxietyph.01/video/7222191466532097286"" data-video-id=""7222191466532097286"" style=""max-width: 605px;min-width: 325px;"" > <section> <a target=""_blank"" title=""@anxietyph.01"" href=""https://www.tiktok.com/@anxietyph.01?refer=embed"">@anxietyph.01</a> letter C. <a title=""anxiety"" target=""_blank"" href=""https://www.tiktok.com/tag/anxiety?refer=embed"">#anxiety</a> <a target=""_blank"" title=""♬ suara asli - favmusicvibes"" href=""https://www.tiktok.com/music/suara-asli-favmusicvibes-7072329102612220699?refer=embed"">♬ suara asli - favmusicvibes</a> </section> </blockquote> <script async src=""https://www.tiktok.com/embed.js""></script>"
"Hard work first before the result. 
It's not that you are thinking of it right away that you haven't done anything yet??? 
There is no shortcut to SUCCESS????????? 

??If you are a STAY-AT-HOME PARENT, who wants to earn without leaving the family. Work online as long as you have CP and FB? ?? ???? ?????? 
??PM me??","<img src=""https://teamdigitaldren91.github.io/assets/images/p5.jpg"" alt="""">"
"If you do something with Paymoko, you can earn money daily. 
Study and join immediately 
Will only do posting Ads. 
Comment so I can send you details 
",
"Don't be afraid of capital that will make you and us rich?? 
We've lost money many times.. Even our salary just passes through our hands... 
Give a GIFT to your family using PAYMOKO this Year for the last year that we are Financially down now.. 
this Year is SUPER BONGA NA! ????","<iframe src=""https://www.facebook.com/plugins/video.php?height=448&href=https%3A%2F%2Fwww.facebook.com%2Fdrenvaldez1%2Fvideos%2F1279475025794756%2F&show_text=false&width=560&t=0"" width=""560"" height=""448"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share"" allowFullScreen=""true""></iframe>"
