message,media_src
You just post once and no one noticed you give up already? You're not ready for success. Everyone started from ZERO CLIENT. Consistency is the key,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Z2mmfepKVKQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"Hwag mo patagalin kung intresado ka! JOIN AGAD! Mas masarap Yung habang nagfFACEBOOK ka kumikita ka?????? 
TARA PA ADD KNA SA GROUP let's go!","<blockquote class=""tiktok-embed"" cite=""https://www.tiktok.com/@anxietyph.01/video/7222191466532097286"" data-video-id=""7222191466532097286"" style=""max-width: 605px;min-width: 325px;"" > <section> <a target=""_blank"" title=""@anxietyph.01"" href=""https://www.tiktok.com/@anxietyph.01?refer=embed"">@anxietyph.01</a> letter C. <a title=""anxiety"" target=""_blank"" href=""https://www.tiktok.com/tag/anxiety?refer=embed"">#anxiety</a> <a target=""_blank"" title=""♬ suara asli - favmusicvibes"" href=""https://www.tiktok.com/music/suara-asli-favmusicvibes-7072329102612220699?refer=embed"">♬ suara asli - favmusicvibes</a> </section> </blockquote> <script async src=""https://www.tiktok.com/embed.js""></script>"
"Karamihan ng networking company ay Magaganda, TOTOONG may kitaan at Malaki talaga. 
Kaya lang pumapangit ang tingin sa networking dahil sa mga SCAMPANY at sa mga SUMALI na, HINDI winowork out, WALANG GINAWA kaya hindi kumikita at akala nila na SCAM na sila! 
Ikekwento nila sa iba yung nangyaring failure sa kanila WITHOUT ADMITTING na hindi nman talaga nila ginawa yung part nila kaya hindi sila kumita. 
Yes madaming yumaman, at yumayaman pa sa networking, bakit? kasi sila yung mga taong hindi sumuko, namuhunan ng dugo't pawis nila sa company na sinalihan nila. 
Hindi porket sumali ka, guarantee na yun na yayaman ka. 
Lahat ng ikaka asenso mo, NASA SARILI MO pa din. IKAW pa din ang magpapayaman sa sarili mo. 
Pag aralan ang business na pinapasukan, Sundin at kung pwede higitan ang mga ginagawa ng mga successful na sa business na pinapasukan mo. 
Tandaan Walang instant sa mundo 
Lahat pinagpapaguran, pinagpupuyatan, pinaghihirapan. 
Pasok na sa PAYMOKO,mahirap pero totoo at maasahan mo...","<img src=""https://teamdigitaldren91.github.io/assets/images/p5.jpg"" alt="""">"
"ISIPIN MGA KAPATID>>>Kapag sarado ang ""MIND"" mo kahit gaano kaganda ang OPPORTUNITY sa harap mo. 
Never mo siya ma-aapreciate. 
Ang pagyaman di yan mag-start sa dami ng pera. Mag-start yan sa pagkakaroon ng OPEN-MIND at RIGHT MINDSET. 
Hindi ibig sabihin marami ka ng pera, utak mayaman ka na! Iba mag-isip ang mayayaman. 
Marami tumataya sa lotto, pero bakit after 5 years nag-hirap muli? Bakit? Dahil marami siyang pera ,pero di naman siya mayaman. 
Ang pagyaman nagsisimula yan sa MIND mo kung paano lalago ang pera mo. 
Kapag lumago ang pera mo never ka ng maghihirap kasi alam mo na kung paano yumaman...?? 
""If you want to be Successful, Change your Mindset first"".??????",
"Don't be contented with a fixed salary, because the price of the goods is not fixed, extra income is needed! ?? 
Join our company now????","<iframe src=""https://www.facebook.com/plugins/video.php?height=448&href=https%3A%2F%2Fwww.facebook.com%2Fdrenvaldez1%2Fvideos%2F1279475025794756%2F&show_text=false&width=560&t=0"" width=""560"" height=""448"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share"" allowFullScreen=""true""></iframe>"
"Madaming nagtatanong Kong PAANO??? 
Pero hindi lahat nagiging interesado.. 
Dahil daw mahirap.. 
Bakit hindi niyo itry, wag puro HOW kikita ka ba nyan?? 
Wala ka bang tiwala sa sarili mo... 
Pano niyo malalaman Kong Hindi niyo susubukan... 
Wag kayo matakot sumubok tiwala lang sa sarili.. 
Pareho din ninyo ako, nahirapan din ako mag tiwala pero sinubukan ko parin and ito kumikita na ako.. 
Ba't di mo itry?? 
MESSAGE ME HOW !! 
Legit itong Pinagkakakitaan ko at alam Kong makakatulong din ito Sayo .. 
#paymokodailycashout 
#LifetimeBusiness 
# legitsince2019","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Z2mmfepKVKQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"Pm for those who also want to earn, you are holding your time here 
You earn during your free time","<blockquote class=""tiktok-embed"" cite=""https://www.tiktok.com/@anxietyph.01/video/7222191466532097286"" data-video-id=""7222191466532097286"" style=""max-width: 605px;min-width: 325px;"" > <section> <a target=""_blank"" title=""@anxietyph.01"" href=""https://www.tiktok.com/@anxietyph.01?refer=embed"">@anxietyph.01</a> letter C. <a title=""anxiety"" target=""_blank"" href=""https://www.tiktok.com/tag/anxiety?refer=embed"">#anxiety</a> <a target=""_blank"" title=""♬ suara asli - favmusicvibes"" href=""https://www.tiktok.com/music/suara-asli-favmusicvibes-7072329102612220699?refer=embed"">♬ suara asli - favmusicvibes</a> </section> </blockquote> <script async src=""https://www.tiktok.com/embed.js""></script>"
"A lot of companies are gone but Paymoko is going on for 4 years and it is getting stronger 
WE ARE HERE WITH THE TESTED, LEGIT AND YOU WILL NEVER BE LEFT. 
Paymoko SEC registration #---2022040050885-01","<img src=""https://teamdigitaldren91.github.io/assets/images/p5.jpg"" alt="""">"
"GAANO BA KASARAP ANG KUMITA NG NASA BAHAY LANG ?? 
Lagi ka bang online sa Facebook??? 
Alam mo bang pwede mo pagkakitaan yan kahit nasa bahay ka lang! 
Possible kang kumita habang nasa bahay ka gamit ang smartphone at data connection mo! 
ADVANTAGES:?? 
?Hindi mo na kailangan gumastos ng pamasahe papuntang office. 
? Hindi na kailangan gumastos ng pagkain, at baon sa work. 
?Hindi ka na magpapakahirap mag commute. 
?Hawak mo oras mo. 
?No need to wear office attire, etc. 
?FB( data, WiFi or net) lang pwede na 
Gusto mo ba malaman kung paano? 
Step 1: COMMENT HOW or PM me",
"Want to have your own business!? ?? 
PAYMOKO is here, just a small investment, affordable but big income??%!! ???? 
Try to prove?? this is for lifetime/long term?? 
PM for those who want to be taught, I will guide you????","<iframe src=""https://www.facebook.com/plugins/video.php?height=448&href=https%3A%2F%2Fwww.facebook.com%2Fdrenvaldez1%2Fvideos%2F1279475025794756%2F&show_text=false&width=560&t=0"" width=""560"" height=""448"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share"" allowFullScreen=""true""></iframe>"
"Walang magbabago kung hindi ka gagawa ng bago ???? 
Yung SAHOD MO na parang MOVIE? 
Coming Soon pa lang pero yung mga Bayarin mo eh Now Showing na ????? 
Need mo Extra INCOME??Pwede ka kumita gamit lang CP mo
PM me in my inbox????????","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Z2mmfepKVKQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"??Empleyado ka ba na kulang ang kinikita? 
?Nanay na nasa bahay lang pero gusto makatulong kay mister sa financial? 
??Estudyante na gustong maging independent at magkaroon ng extra income? 
??Dito ka sa paymoko??May trabaho ka man, nanay na nasa bahay lang, estudyante o tambay sa daan basta may maliit na pangpuhunan pwede ng kumita yan?? 
Minimum of 200 pwedeng pwede kana maging business owner sa paymoko at kumita ng extra?? 
? Daily Passive income 
? Daily pay out 
? Sustainable 
? Longterm na kitaan 
#paymoko","<blockquote class=""tiktok-embed"" cite=""https://www.tiktok.com/@anxietyph.01/video/7222191466532097286"" data-video-id=""7222191466532097286"" style=""max-width: 605px;min-width: 325px;"" > <section> <a target=""_blank"" title=""@anxietyph.01"" href=""https://www.tiktok.com/@anxietyph.01?refer=embed"">@anxietyph.01</a> letter C. <a title=""anxiety"" target=""_blank"" href=""https://www.tiktok.com/tag/anxiety?refer=embed"">#anxiety</a> <a target=""_blank"" title=""♬ suara asli - favmusicvibes"" href=""https://www.tiktok.com/music/suara-asli-favmusicvibes-7072329102612220699?refer=embed"">♬ suara asli - favmusicvibes</a> </section> </blockquote> <script async src=""https://www.tiktok.com/embed.js""></script>"
"??If Every Day You Can Make Money At Home Like This, Are You Okay? 
??You have money but you don't have a Boss, are you okay? 
??You already have money even if you only work after or just a few minutes a day, are you okay? 
??Do you like it too? Comment immediately so I can teach you","<img src=""https://teamdigitaldren91.github.io/assets/images/p5.jpg"" alt="""">"
"Want to have your own business!? ?? 
PAYMOKO is here, just a small investment, affordable but big income??%!! ???? 
Try to prove?? this is for lifetime/long term?? 
PM for those who want to be taught, I will guide you????",
"?Ang PERA di nag kakasakit 
Di napapagod 
Di nag rereklamo 
Di gumagawa ng dahilan 
?Pero ang TAO nagkakasakit 
Nagrereklamo 
Napapagod at 
Laging my Dahilan 
Kaya kailangan nating lawakan at Buksan ang ating Isipan, na ang Diskarte ng mga mayayaman ay PERA ang nag-tatrabaho para sa kanila at di mo na kailangan pang magpakahirap para kumita ng PERA Para sa Pamilya.. 
- kaya ang pinagkaiba ng mayaman at mahirap ay kung papano nila ginagamit ang kanilang KAISIPAN. 
IKAW Kapatid Ano ba ang gusto mo??? 
- IKAW ang nag tatrabaho para sa pera O, 
- PERA ang nag tatrabaho para sayo.. 
Mamili ka na habang my oras ka pa..?? 

#LifeChangingOpportunity 
#LegitSince2019","<iframe src=""https://www.facebook.com/plugins/video.php?height=448&href=https%3A%2F%2Fwww.facebook.com%2Fdrenvaldez1%2Fvideos%2F1279475025794756%2F&show_text=false&width=560&t=0"" width=""560"" height=""448"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share"" allowFullScreen=""true""></iframe>"
"Ang trabaho namin wlang kontrata.. 
Pag ayaw mo na pwede ka magquit anytime. 
Pero sure ako pag pumasok k dto bka d mo n gustohin lumabas.???????? 
Ika nga kumita ka hanggang gusto mo?????? 
Sipag lang mamsh!!mas masarap un pareho kau ng asawa mo na kumikita. 
Dito asa bahay ka lang..d mo kailangan mamasahe paopisina... 
No exemption 
Kahit tambay ka pa....estudyante...single mom..OFW.....matanda..basta pursigido ka at masipag pasok n pasok ka?????? 
Walang pilitan pero pede mo subukan anytime..anywhere???? 
Pm na..guide kita","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Z2mmfepKVKQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"??Kung Hindi natin susubukan , paano natin malalaman? 
??Kung Hindi natin uumpisahan, paano natin makukuha? 
??Kung Hindi tayo magkakamali, paano tayo matututo? 
??Kung Hindi tayo makikipagsapalaran, paano tayo magtatagumpay? 
??Kung matatakot tayo, paano natin makakamit ang ating mga pinapangarap? 
??Kung wala gagawing Aksyon, paano tayo magkakaresulta? 
"" LET YOUR DREAMS BE BIGGER THAN YOUR FEAR""?? 
Wag kang magpadala sa salitang baka.. 
Baka mag Fail ako... 
Baka hindi ko kaya... 
Baka hindi para sa sa akin yan... 
Baka hindi ako magkakaresulta... 
"" Change Your Mindset into a Millionaire Mindset ""?? 
Wag yung pang Monthly Budget... 
Hoping For Your Success & Happiness? 
#paymoko 
#tulongan,bayanihan, autospill 
#cryptoREALM","<blockquote class=""tiktok-embed"" cite=""https://www.tiktok.com/@anxietyph.01/video/7222191466532097286"" data-video-id=""7222191466532097286"" style=""max-width: 605px;min-width: 325px;"" > <section> <a target=""_blank"" title=""@anxietyph.01"" href=""https://www.tiktok.com/@anxietyph.01?refer=embed"">@anxietyph.01</a> letter C. <a title=""anxiety"" target=""_blank"" href=""https://www.tiktok.com/tag/anxiety?refer=embed"">#anxiety</a> <a target=""_blank"" title=""♬ suara asli - favmusicvibes"" href=""https://www.tiktok.com/music/suara-asli-favmusicvibes-7072329102612220699?refer=embed"">♬ suara asli - favmusicvibes</a> </section> </blockquote> <script async src=""https://www.tiktok.com/embed.js""></script>"
"Si Paymoko ay Matibay even during Pandemic.. Kalalabas ng SEC noong June 2022 na naka File na noong Aug 2019.. Ganun katindi ang pagkilatis sa System natin kaya Super Proud na nailabas ang SEC with our system.
Now, Paymoko was Created to Help Filipinos na mostly Masa na umangat ang Buhay. Kaya super affordable ang Entries natin dito. Plus Super Safe ang System kaya walang Instant Millions.. Matibay na pang Long Term ang Kitaan dito..
#paymokolegitsince2019
#paymokodailycashout
#lifetimebusinessoppotunity","<img src=""https://teamdigitaldren91.github.io/assets/images/p5.jpg"" alt="""">"
"?? REALIZATION - OFW ??
Wag makampante sa sinasahod mo ngayon. Start building your own business habang may resources ka pa. When you grow older, you will look back and thank yourself for taking the risk.
Take advantage of the new normal way of Earning-online.
?? Don't waste your time, be my paymoko partner now",
"DON'T BE AFRAID TO TRY.
MONEY ?? GETS BACK AND YOU CAN STILL SEE IT
BUT TIME AND OPPORTUNITY ARE NOT.
THINK WISELY ??
#PAYMOKO","<iframe src=""https://www.facebook.com/plugins/video.php?height=448&href=https%3A%2F%2Fwww.facebook.com%2Fdrenvaldez1%2Fvideos%2F1279475025794756%2F&show_text=false&width=560&t=0"" width=""560"" height=""448"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share"" allowFullScreen=""true""></iframe>"
"DAPAT ALAM MO!?????? 
Reasons bakit ako post ng post tungkol sa BUSINESS ko...... para marealize mo to..?? 
UNA?? ...lagi ka ring nagfefacebook, magdamag pa nga.. pero wala ka namang income,.. 
PANGALAWA?? ...kung di naman sapat ang income mo sa trabaho mo, mag part time negosyo karin. 
PANGATLO?? ...almost 12hrs sa trabaho panay-OT, nadagdagan nga ang kita mo, dagdag din pagod mo, bawas oras sa pamilya mo. 
PANG-APAT?? ...kuntento ka na ba sa buhay na meron ka ngayon?????? 
kung hindi, kailangan mo ang NEGOSYONG PARA SA LAHAT. 
PANGLIMA?? ..May PANGARAP ka din tulad namin. ???????? 
?financial and time freedom 
????????? ?????????? ?????????????????? ???????????????? 
????????????? ?????????????????? ???????????? 
????????????? ?????????????????? ???? ???????????? 
?? ???????????????? ???????? ?????? ?????????????????? ???? ???? ???????????????? ???? ???????? ?????? ??????????a?????? ????. ?????????? ???? ???? ?????? ???????? ????. 
?????? ???????????????? ???? ????? ???? ???????? ????????????. 
?????????? ???????????? ???????? ?????? ?????????? ???????? ???? ????????.???? 
??mo ako at ituturo ko sayo.. 
Start a business for your future habang malakas ka pa, kaya mo pa, at may chance ka pa?????????? 
??Ask me how? 
???????????? 
#paymoko 
#LifeChangingOpportunity 
#LegitOnlineBusiness","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Z2mmfepKVKQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"PARA SA MGA NAGSISIMULA PALANG???? 
JACK MA SAID?? 
Habang wala kapang malaking resulta. 
Expect mo na walang maniniwala sayo. 
Maraming tatawa sayo. 
Maraming huhusga sayo.?? 
Pero kapag na Achieve mo na yung Goals mo. 
Sila na lalapit na turuan mo kung paano gawin ang business mo. 
Malimit sa PINOY to see is to believe Tsaka na maniniwala kapag may nagawa ka na. 
Kapag naging Mayaman kana. 
Tuloy mo lang ginagawa mo ngayon. 
Deserve mong umasenso sa buhay. 
Wala yan sa kung ano ang tinapos mo. 
Kasi mas lamang parin ang madiskarte. 
Lahat tayo deserve umasenso.??","<blockquote class=""tiktok-embed"" cite=""https://www.tiktok.com/@anxietyph.01/video/7222191466532097286"" data-video-id=""7222191466532097286"" style=""max-width: 605px;min-width: 325px;"" > <section> <a target=""_blank"" title=""@anxietyph.01"" href=""https://www.tiktok.com/@anxietyph.01?refer=embed"">@anxietyph.01</a> letter C. <a title=""anxiety"" target=""_blank"" href=""https://www.tiktok.com/tag/anxiety?refer=embed"">#anxiety</a> <a target=""_blank"" title=""♬ suara asli - favmusicvibes"" href=""https://www.tiktok.com/music/suara-asli-favmusicvibes-7072329102612220699?refer=embed"">♬ suara asli - favmusicvibes</a> </section> </blockquote> <script async src=""https://www.tiktok.com/embed.js""></script>"
"Kung naintindihan mo ng Lubos na ?11,529,588 ang Potential income ng Entry mo rito ay Walang HINDI Kayanin.. 
Paano ko mapatunayan yan? 
??Student 
Magkano ang Tuition? Books o Gamit sa school? Uniform? Pamasahe at baon daily Dahil lang sa Future na TRABAHO.. Sa Magakanong SWELDO kaya? 
??APPLY WORK LOCAL 
- Bili ng mga Requirements like NBI, Clearances, TOR etc.. Pamasahe sa pag apply.. Oras sa pagpunta, ilang ulit balik balik.. Then kapag matanggap.. Di agad may sweldo.. 15 Days ay Galing pa sa Bulsa mo bago may Sweldo. 
??WORK ABROAD 
- Bayad sa Requirements like Passport and Medical.. Pamasahe sa pag apply, time, effort.. Pagtitiis pag start sa Work til magka sweldo 
??Small Business 
- Capital sa Buy and Sell.. Pamasahe sa Meet up, delivery, paniningil para sa Magkanong Kita? 
??Ang Dami pa.. Main Point is 
KAPAG MAY GUSTO AY MAY PARAAN TALAGA","<img src=""https://teamdigitaldren91.github.io/assets/images/p5.jpg"" alt="""">"
